net_name,net_route_length,net_steiner_length,fanout,total_cap,net_cap,net_coupling,net_res
_295_,234,-1,1,1.1110382938368888e-15,3.2118324689580594e-17,0.008868173812516034,10.5017671585083
_296_,504,-1,1,1.4354028906034635e-15,5.651287357050444e-17,0.00834783146274276,18.949256896972656
_297_,486,-1,1,6.87543525429012e-16,5.12225175401909e-17,0.006869285833090544,18.102680206298828
_298_,648,-1,1,1.1780411410635457e-15,9.912117191623751e-17,0.01849701680475846,22.66103744506836
_299_,702,-1,1,1.4578516989254258e-15,7.896168189246676e-17,0.014319863403216004,24.57726287841797
_300_,486,-1,1,6.843096595155135e-16,4.7988651626692386e-17,0.0040042062173597515,18.329408645629883
_301_,882,-1,1,1.1697774876301328e-15,9.085751848282456e-17,0.002227361313998699,29.75546646118164
_303_,378,-1,1,1.4331215132391524e-15,5.423149620619339e-17,0.00863553024828434,14.723685264587402
_304_,864,-1,1,7.223556795886573e-16,8.603467169983618e-17,0.006869285833090544,29.81580352783203
_305_,612,-1,1,1.1778525703536632e-15,9.893260120635503e-17,0.02155352958743606,22.126211166381836
_306_,108,-1,1,1.391698425744865e-15,1.2808408711905903e-17,0.0005055100191384554,4.870107173919678
_307_,486,-1,1,6.869890894254749e-16,5.0668081536653755e-17,0.0,18.102680206298828
_308_,324,-1,1,1.1192298435906667e-15,4.0309874443358526e-17,0.0,13.034187316894531
_309_,666,-1,1,1.485267402570969e-15,1.0637738553800988e-16,0.053310353541746736,23.564294815063477
_310_,504,-1,1,7.132390639773593e-16,7.691805608853815e-17,0.015412239299621433,18.382436752319336
_311_,504,-1,1,1.136634147195256e-15,5.771417804794786e-17,0.010343373287469149,18.949256896972656
_312_,882,-1,1,1.5156080168624996e-15,1.3671799982954052e-16,0.07759567769244313,30.662378311157227
_313_,396,-1,1,6.900336434752621e-16,5.371263558644093e-17,0.0025444162893109024,15.173486709594727
_314_,324,-1,1,1.136478504891198e-15,5.755853574388988e-17,0.017841744353063405,13.034187316894531
_315_,612,-1,1,1.4903258833319716e-15,1.1143586629901257e-16,0.07033548504114151,22.3282527923584
_316_,324,-1,1,6.900534428704041e-16,5.3732434981583e-17,0.012508826330304146,13.034187316894531
_317_,324,-1,1,1.1240083799626019e-15,4.508841081529366e-17,0.003910775383701548,13.034187316894531
_318_,828,-1,1,1.4824208424726024e-15,1.035308254396434e-16,0.0012461674632504582,30.20892333984375
_319_,432,-1,1,6.876320403720001e-16,5.131103248317897e-17,0.007439827313646674,16.77796173095703
_320_,522,-1,1,1.1456074024802313e-15,6.66874333329231e-17,0.01980907845427282,19.172330856323242
_321_,828,-1,1,1.5115205534964055e-15,1.3263053646344648e-16,0.05832450761226937,28.689470291137695
_322_,468,-1,1,6.929772947252076e-16,5.665628683638644e-17,0.016324017762599397,17.401464462280273
_323_,612,-1,1,1.1588601858520905e-15,7.994021670478229e-17,0.02298490807879716,22.693031311035156
