src,tar,src_type,tar_type,is_net,arc_delay
_489_/A1,_489_/Y,pin,pin,0,1.4524716498987011e-11
_489_/A2,_489_/Y,pin,pin,0,1.3574652686643152e-11
_489_/B,_489_/Y,pin,pin,0,1.2085890448154668e-11
_491_/A1,_491_/Y,pin,pin,0,1.2146337755036818e-11
_491_/A2,_491_/Y,pin,pin,0,1.7536727278666397e-11
_491_/B,_491_/Y,pin,pin,0,1.6864945204253523e-11
_492_/A,_492_/Y,pin,pin,0,2.4474328813584023e-11
_492_/B,_492_/Y,pin,pin,0,2.82831744136125e-11
_492_/C,_492_/Y,pin,pin,0,2.890999419025153e-11
_493_/A1,_493_/Y,pin,pin,0,8.75265918770518e-12
_493_/A2,_493_/Y,pin,pin,0,1.025873917065434e-11
_493_/B,_493_/Y,pin,pin,0,9.710138942908841e-12
_494_/A,_494_/Y,pin,pin,0,1.1075119987769e-11
_494_/B,_494_/Y,pin,pin,0,1.0355406636353148e-11
_495_/A,_495_/Y,pin,pin,0,2.290258954706914e-11
_495_/B,_495_/Y,pin,pin,0,2.5836142253377048e-11
_495_/C,_495_/Y,pin,pin,0,2.6077855153072704e-11
_495_/D,_495_/Y,pin,pin,0,2.7122916759769744e-11
_496_/A,_496_/Y,pin,pin,0,1.9323476846411225e-11
_496_/B,_496_/Y,pin,pin,0,2.1324267004962927e-11
_496_/C,_496_/Y,pin,pin,0,2.2420315604065877e-11
_497_/A1,_497_/Y,pin,pin,0,1.5297032737726646e-11
_497_/A2,_497_/Y,pin,pin,0,1.7062186732919038e-11
_497_/B,_497_/Y,pin,pin,0,1.5529067615149827e-11
_498_/A,_498_/Y,pin,pin,0,8.325365570549526e-12
_498_/B,_498_/Y,pin,pin,0,1.2007068082853234e-11
_498_/C,_498_/Y,pin,pin,0,1.6085089857287294e-11
_499_/A,_499_/Y,pin,pin,0,3.170809795283169e-11
_499_/B,_499_/Y,pin,pin,0,3.356905031726143e-11
_499_/C,_499_/Y,pin,pin,0,3.515004606824412e-11
_499_/D,_499_/Y,pin,pin,0,3.7266901370403005e-11
_500_/A1,_500_/Y,pin,pin,0,2.8154150885639773e-11
_500_/A2,_500_/Y,pin,pin,0,3.5286759625385855e-11
_500_/B,_500_/Y,pin,pin,0,2.8241145533236534e-11
_500_/C,_500_/Y,pin,pin,0,3.011897328764057e-11
_501_/A1,_501_/Y,pin,pin,0,3.753347632695636e-11
_501_/A2,_501_/Y,pin,pin,0,2.9303250798085045e-11
_501_/A3,_501_/Y,pin,pin,0,3.144282750833227e-11
_501_/B1,_501_/Y,pin,pin,0,2.7023659351921303e-11
_501_/B2,_501_/Y,pin,pin,0,2.4834606593415742e-11
_501_/B3,_501_/Y,pin,pin,0,2.43339896843775e-11
_502_/A,_502_/Y,pin,pin,0,4.146397114546119e-11
_502_/B,_502_/Y,pin,pin,0,3.639923085163588e-11
_504_/A1,_504_/Y,pin,pin,0,3.0010917362321976e-11
_504_/A2,_504_/Y,pin,pin,0,3.428577907693686e-11
_504_/B,_504_/Y,pin,pin,0,2.3794416090239245e-11
_505_/A,_505_/Y,pin,pin,0,4.2742875211443376e-11
_505_/B,_505_/Y,pin,pin,0,4.3444303710060694e-11
_505_/C,_505_/Y,pin,pin,0,4.444159276695281e-11
