src,tar,src_type,tar_type
_444_/A1,_444_,pin,cell
_444_/A2,_444_,pin,cell
_444_/B,_444_,pin,cell
_444_/C,_444_,pin,cell
_444_,_444_/Y,cell,pin
_445_/A1,_445_,pin,cell
_445_/A2,_445_,pin,cell
_445_/B,_445_,pin,cell
_445_/C,_445_,pin,cell
_445_,_445_/Y,cell,pin
_446_/A,_446_,pin,cell
_446_/B,_446_,pin,cell
_446_,_446_/Y,cell,pin
_447_/A,_447_,pin,cell
_447_/B,_447_,pin,cell
_447_,_447_/Y,cell,pin
_448_/A,_448_,pin,cell
_448_,_448_/Y,cell,pin
_449_/A1,_449_,pin,cell
_449_/A2,_449_,pin,cell
_449_/B1,_449_,pin,cell
_449_/B2,_449_,pin,cell
_449_/C,_449_,pin,cell
_449_,_449_/Y,cell,pin
_450_/A,_450_,pin,cell
_450_/B,_450_,pin,cell
_450_,_450_/Y,cell,pin
_452_/A1,_452_,pin,cell
_452_/A2,_452_,pin,cell
_452_/B,_452_,pin,cell
_452_,_452_/Y,cell,pin
_453_/A,_453_,pin,cell
_453_,_453_/Y,cell,pin
_454_/A1,_454_,pin,cell
_454_/A2,_454_,pin,cell
_454_/B,_454_,pin,cell
_454_/C,_454_,pin,cell
_454_,_454_/Y,cell,pin
_455_/A,_455_,pin,cell
_455_,_455_/Y,cell,pin
_456_/A1,_456_,pin,cell
_456_/A2,_456_,pin,cell
_456_/B,_456_,pin,cell
_456_,_456_/Y,cell,pin
_457_/A,_457_,pin,cell
_457_,_457_/Y,cell,pin
_458_/A,_458_,pin,cell
_458_,_458_/Y,cell,pin
_459_/A,_459_,pin,cell
_459_,_459_/Y,cell,pin
_460_/A,_460_,pin,cell
_460_,_460_/Y,cell,pin
_461_/A,_461_,pin,cell
_461_,_461_/Y,cell,pin
_462_/A,_462_,pin,cell
_462_,_462_/Y,cell,pin
_463_/A,_463_,pin,cell
_463_,_463_/Y,cell,pin
_464_/A,_464_,pin,cell
_464_,_464_/Y,cell,pin
_465_/A,_465_,pin,cell
_465_,_465_/Y,cell,pin
_466_/A,_466_,pin,cell
_466_,_466_/Y,cell,pin
_467_/A,_467_,pin,cell
_467_,_467_/Y,cell,pin
_468_/A,_468_,pin,cell
_468_,_468_/Y,cell,pin
_469_/A,_469_,pin,cell
_469_,_469_/Y,cell,pin
_470_/A,_470_,pin,cell
_470_,_470_/Y,cell,pin
_471_/A,_471_,pin,cell
_471_,_471_/Y,cell,pin
_472_/A,_472_,pin,cell
_472_/B,_472_,pin,cell
_472_,_472_/Y,cell,pin
_473_/A,_473_,pin,cell
_473_/B,_473_,pin,cell
_473_,_473_/Y,cell,pin
_475_/A,_475_,pin,cell
_475_/B,_475_,pin,cell
_475_/C,_475_,pin,cell
_475_,_475_/Y,cell,pin
_476_/A,_476_,pin,cell
_476_/B,_476_,pin,cell
_476_,_476_/Y,cell,pin
_477_/A1,_477_,pin,cell
_477_/A2,_477_,pin,cell
_477_/B,_477_,pin,cell
_477_/C,_477_,pin,cell
_477_,_477_/Y,cell,pin
_479_/A1,_479_,pin,cell
_479_/A2,_479_,pin,cell
_479_/B,_479_,pin,cell
_479_,_479_/Y,cell,pin
_480_/A1,_480_,pin,cell
_480_/A2,_480_,pin,cell
_480_/A3,_480_,pin,cell
_480_/B1,_480_,pin,cell
_480_/B2,_480_,pin,cell
_480_/B3,_480_,pin,cell
_480_,_480_/Y,cell,pin
_481_/A,_481_,pin,cell
_481_/B,_481_,pin,cell
_481_/C,_481_,pin,cell
_481_,_481_/Y,cell,pin
_482_/A1,_482_,pin,cell
_482_/A2,_482_,pin,cell
_482_/B,_482_,pin,cell
_482_,_482_/Y,cell,pin
_483_/A,_483_,pin,cell
_483_,_483_/Y,cell,pin
_484_/A1,_484_,pin,cell
_484_/A2,_484_,pin,cell
_484_/B,_484_,pin,cell
_484_,_484_/Y,cell,pin
_485_/A1,_485_,pin,cell
_485_/A2,_485_,pin,cell
_485_/B,_485_,pin,cell
_485_,_485_/Y,cell,pin
_486_/A,_486_,pin,cell
_486_/B,_486_,pin,cell
_486_/C,_486_,pin,cell
_486_,_486_/Y,cell,pin
_487_/A,_487_,pin,cell
_487_,_487_/Y,cell,pin
_488_/A1,_488_,pin,cell
_488_/A2,_488_,pin,cell
_488_/B1,_488_,pin,cell
_488_/B2,_488_,pin,cell
_488_/C,_488_,pin,cell
_488_,_488_/Y,cell,pin
_489_/A1,_489_,pin,cell
_489_/A2,_489_,pin,cell
_489_/B,_489_,pin,cell
_489_,_489_/Y,cell,pin
_491_/A1,_491_,pin,cell
_491_/A2,_491_,pin,cell
_491_/B,_491_,pin,cell
_491_,_491_/Y,cell,pin
_492_/A,_492_,pin,cell
_492_/B,_492_,pin,cell
_492_/C,_492_,pin,cell
_492_,_492_/Y,cell,pin
_493_/A1,_493_,pin,cell
_493_/A2,_493_,pin,cell
_493_/B,_493_,pin,cell
_493_,_493_/Y,cell,pin
_494_/A,_494_,pin,cell
_494_/B,_494_,pin,cell
_494_,_494_/Y,cell,pin
_495_/A,_495_,pin,cell
_495_/B,_495_,pin,cell
_495_/C,_495_,pin,cell
_495_/D,_495_,pin,cell
_495_,_495_/Y,cell,pin
_496_/A,_496_,pin,cell
_496_/B,_496_,pin,cell
_496_/C,_496_,pin,cell
_496_,_496_/Y,cell,pin
_497_/A1,_497_,pin,cell
_497_/A2,_497_,pin,cell
_497_/B,_497_,pin,cell
_497_,_497_/Y,cell,pin
_498_/A,_498_,pin,cell
_498_/B,_498_,pin,cell
_498_/C,_498_,pin,cell
_498_,_498_/Y,cell,pin
_499_/A,_499_,pin,cell
_499_/B,_499_,pin,cell
_499_/C,_499_,pin,cell
_499_/D,_499_,pin,cell
_499_,_499_/Y,cell,pin
_500_/A1,_500_,pin,cell
_500_/A2,_500_,pin,cell
_500_/B,_500_,pin,cell
_500_/C,_500_,pin,cell
_500_,_500_/Y,cell,pin
_501_/A1,_501_,pin,cell
_501_/A2,_501_,pin,cell
_501_/A3,_501_,pin,cell
_501_/B1,_501_,pin,cell
_501_/B2,_501_,pin,cell
_501_/B3,_501_,pin,cell
_501_,_501_/Y,cell,pin
_502_/A,_502_,pin,cell
_502_/B,_502_,pin,cell
_502_,_502_/Y,cell,pin
_504_/A1,_504_,pin,cell
_504_/A2,_504_,pin,cell
_504_/B,_504_,pin,cell
_504_,_504_/Y,cell,pin
_505_/A,_505_,pin,cell
_505_/B,_505_,pin,cell
_505_/C,_505_,pin,cell
_505_,_505_/Y,cell,pin
_506_/A,_506_,pin,cell
_506_,_506_/Y,cell,pin
_507_/A1,_507_,pin,cell
_507_/A2,_507_,pin,cell
_507_/B,_507_,pin,cell
_507_,_507_/Y,cell,pin
_508_/A1,_508_,pin,cell
_508_/A2,_508_,pin,cell
_508_/A3,_508_,pin,cell
_508_/B1,_508_,pin,cell
_508_,_508_/Y,cell,pin
_509_/A,_509_,pin,cell
_509_/B,_509_,pin,cell
_509_,_509_/Y,cell,pin
_510_/A,_510_,pin,cell
_510_/B,_510_,pin,cell
_510_/C,_510_,pin,cell
_510_,_510_/Y,cell,pin
_511_/A1,_511_,pin,cell
_511_/A2,_511_,pin,cell
_511_/B,_511_,pin,cell
_511_,_511_/Y,cell,pin
_512_/A1,_512_,pin,cell
_512_/A2,_512_,pin,cell
_512_/B,_512_,pin,cell
_512_,_512_/Y,cell,pin
_513_/A1,_513_,pin,cell
_513_/A2,_513_,pin,cell
_513_/B,_513_,pin,cell
_513_/C,_513_,pin,cell
_513_,_513_/Y,cell,pin
_515_/A1,_515_,pin,cell
_515_/A2,_515_,pin,cell
_515_/B,_515_,pin,cell
_515_,_515_/Y,cell,pin
_516_/A,_516_,pin,cell
_516_/B,_516_,pin,cell
_516_,_516_/Y,cell,pin
_517_/A1,_517_,pin,cell
_517_/A2,_517_,pin,cell
_517_/B,_517_,pin,cell
_517_,_517_/Y,cell,pin
_518_/A1,_518_,pin,cell
_518_/A2,_518_,pin,cell
_518_/B,_518_,pin,cell
_518_,_518_/Y,cell,pin
_519_/A1,_519_,pin,cell
_519_/A2,_519_,pin,cell
_519_/A3,_519_,pin,cell
_519_/B1,_519_,pin,cell
_519_,_519_/Y,cell,pin
_520_/A,_520_,pin,cell
_520_,_520_/Y,cell,pin
_520_/B,_520_,pin,cell
_521_/A1,_521_,pin,cell
_521_/A2,_521_,pin,cell
_521_/B,_521_,pin,cell
_521_,_521_/Y,cell,pin
_522_/A1,_522_,pin,cell
_522_/A2,_522_,pin,cell
_522_/B,_522_,pin,cell
_522_,_522_/Y,cell,pin
_523_/A1,_523_,pin,cell
_523_/A2,_523_,pin,cell
_523_/B1,_523_,pin,cell
_523_/B2,_523_,pin,cell
_523_/C,_523_,pin,cell
_523_,_523_/Y,cell,pin
_524_/A,_524_,pin,cell
_524_/B,_524_,pin,cell
_524_,_524_/Y,cell,pin
_525_/A1,_525_,pin,cell
_525_/A2,_525_,pin,cell
_525_/B,_525_,pin,cell
_525_,_525_/Y,cell,pin
_526_/A1,_526_,pin,cell
_526_/A2,_526_,pin,cell
_526_/B,_526_,pin,cell
_526_,_526_/Y,cell,pin
_527_/A1,_527_,pin,cell
_527_/A2,_527_,pin,cell
_527_/B,_527_,pin,cell
_527_/C,_527_,pin,cell
_527_,_527_/Y,cell,pin
_528_/A,_528_,pin,cell
_528_/B,_528_,pin,cell
_528_/C,_528_,pin,cell
_528_,_528_/Y,cell,pin
_529_/A1,_529_,pin,cell
_529_/A2,_529_,pin,cell
_529_/B,_529_,pin,cell
_529_,_529_/Y,cell,pin
_530_/A1,_530_,pin,cell
_530_/A2,_530_,pin,cell
_530_/B,_530_,pin,cell
_530_,_530_/Y,cell,pin
_531_/A1,_531_,pin,cell
_531_/A2,_531_,pin,cell
_531_/B,_531_,pin,cell
_531_,_531_/Y,cell,pin
_532_/A1,_532_,pin,cell
_532_/A2,_532_,pin,cell
_532_/B1,_532_,pin,cell
_532_/B2,_532_,pin,cell
_532_/C,_532_,pin,cell
_532_,_532_/Y,cell,pin
_533_/A1,_533_,pin,cell
_533_/A2,_533_,pin,cell
_533_/B,_533_,pin,cell
_533_,_533_/Y,cell,pin
_534_/A,_534_,pin,cell
_534_,_534_/Y,cell,pin
_534_/B,_534_,pin,cell
_535_/A1,_535_,pin,cell
_535_/A2,_535_,pin,cell
_535_/B,_535_,pin,cell
_535_/C,_535_,pin,cell
_535_,_535_/Y,cell,pin
_536_/A1,_536_,pin,cell
_536_/A2,_536_,pin,cell
_536_/B1,_536_,pin,cell
_536_/B2,_536_,pin,cell
_536_/C,_536_,pin,cell
_536_,_536_/Y,cell,pin
_538_/A1,_538_,pin,cell
_538_/A2,_538_,pin,cell
_538_/B,_538_,pin,cell
_538_,_538_/Y,cell,pin
_539_/A,_539_,pin,cell
_539_/B,_539_,pin,cell
_539_/C,_539_,pin,cell
_539_,_539_/Y,cell,pin
_540_/A,_540_,pin,cell
_540_,_540_/Y,cell,pin
_541_/A1,_541_,pin,cell
_541_/A2,_541_,pin,cell
_541_/B,_541_,pin,cell
_541_,_541_/Y,cell,pin
_542_/A,_542_,pin,cell
_542_/B,_542_,pin,cell
_542_/C,_542_,pin,cell
_542_,_542_/Y,cell,pin
_543_/A,_543_,pin,cell
_543_/B,_543_,pin,cell
_543_,_543_/Y,cell,pin
_544_/A,_544_,pin,cell
_544_/B,_544_,pin,cell
_544_/C,_544_,pin,cell
_544_,_544_/Y,cell,pin
_545_/A1,_545_,pin,cell
_545_/A2,_545_,pin,cell
_545_/B,_545_,pin,cell
_545_,_545_/Y,cell,pin
_546_/A,_546_,pin,cell
_546_/B,_546_,pin,cell
_546_,_546_/Y,cell,pin
_547_/A,_547_,pin,cell
_547_/B,_547_,pin,cell
_547_/C,_547_,pin,cell
_547_,_547_/Y,cell,pin
_548_/A1,_548_,pin,cell
_548_/A2,_548_,pin,cell
_548_/B,_548_,pin,cell
_548_/C,_548_,pin,cell
_548_,_548_/Y,cell,pin
_549_/A,_549_,pin,cell
_549_/B,_549_,pin,cell
_549_/C,_549_,pin,cell
_549_/D,_549_,pin,cell
_549_/E,_549_,pin,cell
_549_,_549_/Y,cell,pin
_550_/A1,_550_,pin,cell
_550_/A2,_550_,pin,cell
_550_/B,_550_,pin,cell
_550_/C,_550_,pin,cell
_550_,_550_/Y,cell,pin
_552_/A1,_552_,pin,cell
_552_/A2,_552_,pin,cell
_552_/B,_552_,pin,cell
_552_,_552_/Y,cell,pin
_553_/A1,_553_,pin,cell
_553_/A2,_553_,pin,cell
_553_/B,_553_,pin,cell
_553_,_553_/Y,cell,pin
_554_/A1,_554_,pin,cell
_554_/A2,_554_,pin,cell
_554_/A3,_554_,pin,cell
_554_/B1,_554_,pin,cell
_554_,_554_/Y,cell,pin
_555_/A1,_555_,pin,cell
