src,tar,src_type,tar_type
dpath.b_reg.out\[9\]$_DFFE_PP_/CLK,dpath.b_reg.out\[9\]$_DFFE_PP_,pin,cell
dpath.b_reg.out\[9\]$_DFFE_PP_/D,dpath.b_reg.out\[9\]$_DFFE_PP_,pin,cell
dpath.b_reg.out\[9\]$_DFFE_PP_,dpath.b_reg.out\[9\]$_DFFE_PP_/QN,cell,pin
input1/A,input1,pin,cell
input1,input1/Y,cell,pin
input10/A,input10,pin,cell
input10,input10/Y,cell,pin
input11/A,input11,pin,cell
input11,input11/Y,cell,pin
input12/A,input12,pin,cell
input12,input12/Y,cell,pin
input13/A,input13,pin,cell
input13,input13/Y,cell,pin
input14/A,input14,pin,cell
input14,input14/Y,cell,pin
input15/A,input15,pin,cell
input15,input15/Y,cell,pin
input16/A,input16,pin,cell
input16,input16/Y,cell,pin
input17/A,input17,pin,cell
input17,input17/Y,cell,pin
input18/A,input18,pin,cell
input18,input18/Y,cell,pin
input19/A,input19,pin,cell
input19,input19/Y,cell,pin
input2/A,input2,pin,cell
input2,input2/Y,cell,pin
input20/A,input20,pin,cell
input20,input20/Y,cell,pin
input21/A,input21,pin,cell
input21,input21/Y,cell,pin
input22/A,input22,pin,cell
input22,input22/Y,cell,pin
input23/A,input23,pin,cell
input23,input23/Y,cell,pin
input24/A,input24,pin,cell
input24,input24/Y,cell,pin
input25/A,input25,pin,cell
input25,input25/Y,cell,pin
input26/A,input26,pin,cell
input26,input26/Y,cell,pin
input27/A,input27,pin,cell
input27,input27/Y,cell,pin
input28/A,input28,pin,cell
input28,input28/Y,cell,pin
input29/A,input29,pin,cell
input29,input29/Y,cell,pin
input3/A,input3,pin,cell
input3,input3/Y,cell,pin
input30/A,input30,pin,cell
input30,input30/Y,cell,pin
input31/A,input31,pin,cell
input31,input31/Y,cell,pin
input32/A,input32,pin,cell
input32,input32/Y,cell,pin
input33/A,input33,pin,cell
input33,input33/Y,cell,pin
input34/A,input34,pin,cell
input34,input34/Y,cell,pin
input35/A,input35,pin,cell
input35,input35/Y,cell,pin
input4/A,input4,pin,cell
input4,input4/Y,cell,pin
input5/A,input5,pin,cell
input5,input5/Y,cell,pin
input6/A,input6,pin,cell
input6,input6/Y,cell,pin
input7/A,input7,pin,cell
input7,input7/Y,cell,pin
input8/A,input8,pin,cell
input8,input8/Y,cell,pin
input9/A,input9,pin,cell
input9,input9/Y,cell,pin
output36/A,output36,pin,cell
output36,output36/Y,cell,pin
output37/A,output37,pin,cell
output37,output37/Y,cell,pin
output38/A,output38,pin,cell
output38,output38/Y,cell,pin
output39/A,output39,pin,cell
output39,output39/Y,cell,pin
output40/A,output40,pin,cell
output40,output40/Y,cell,pin
output41/A,output41,pin,cell
output41,output41/Y,cell,pin
output42/A,output42,pin,cell
output42,output42/Y,cell,pin
output43/A,output43,pin,cell
output43,output43/Y,cell,pin
output44/A,output44,pin,cell
output44,output44/Y,cell,pin
output45/A,output45,pin,cell
output45,output45/Y,cell,pin
output46/A,output46,pin,cell
output46,output46/Y,cell,pin
output47/A,output47,pin,cell
output47,output47/Y,cell,pin
output48/A,output48,pin,cell
output48,output48/Y,cell,pin
output49/A,output49,pin,cell
output49,output49/Y,cell,pin
output50/A,output50,pin,cell
output50,output50/Y,cell,pin
output51/A,output51,pin,cell
output51,output51/Y,cell,pin
output52/A,output52,pin,cell
output52,output52/Y,cell,pin
output53/A,output53,pin,cell
output53,output53/Y,cell,pin
rebuffer1/A,rebuffer1,pin,cell
rebuffer1,rebuffer1/Y,cell,pin
rebuffer10/A,rebuffer10,pin,cell
rebuffer10,rebuffer10/Y,cell,pin
rebuffer100/A,rebuffer100,pin,cell
rebuffer100,rebuffer100/Y,cell,pin
rebuffer101/A,rebuffer101,pin,cell
rebuffer101,rebuffer101/Y,cell,pin
rebuffer102/A,rebuffer102,pin,cell
rebuffer102,rebuffer102/Y,cell,pin
rebuffer103/A,rebuffer103,pin,cell
rebuffer103,rebuffer103/Y,cell,pin
rebuffer104/A,rebuffer104,pin,cell
rebuffer104,rebuffer104/Y,cell,pin
rebuffer105/A,rebuffer105,pin,cell
rebuffer105,rebuffer105/Y,cell,pin
rebuffer106/A,rebuffer106,pin,cell
rebuffer106,rebuffer106/Y,cell,pin
rebuffer107/A,rebuffer107,pin,cell
rebuffer107,rebuffer107/Y,cell,pin
rebuffer108/A,rebuffer108,pin,cell
rebuffer108,rebuffer108/Y,cell,pin
rebuffer109/A,rebuffer109,pin,cell
rebuffer109,rebuffer109/Y,cell,pin
rebuffer11/A,rebuffer11,pin,cell
rebuffer11,rebuffer11/Y,cell,pin
rebuffer110/A,rebuffer110,pin,cell
rebuffer110,rebuffer110/Y,cell,pin
rebuffer111/A,rebuffer111,pin,cell
rebuffer111,rebuffer111/Y,cell,pin
rebuffer113/A,rebuffer113,pin,cell
rebuffer113,rebuffer113/Y,cell,pin
rebuffer114/A,rebuffer114,pin,cell
rebuffer114,rebuffer114/Y,cell,pin
rebuffer12/A,rebuffer12,pin,cell
rebuffer12,rebuffer12/Y,cell,pin
rebuffer13/A,rebuffer13,pin,cell
rebuffer13,rebuffer13/Y,cell,pin
rebuffer14/A,rebuffer14,pin,cell
rebuffer14,rebuffer14/Y,cell,pin
rebuffer15/A,rebuffer15,pin,cell
rebuffer15,rebuffer15/Y,cell,pin
rebuffer16/A,rebuffer16,pin,cell
rebuffer16,rebuffer16/Y,cell,pin
rebuffer17/A,rebuffer17,pin,cell
rebuffer17,rebuffer17/Y,cell,pin
rebuffer18/A,rebuffer18,pin,cell
rebuffer18,rebuffer18/Y,cell,pin
rebuffer19/A,rebuffer19,pin,cell
rebuffer19,rebuffer19/Y,cell,pin
rebuffer2/A,rebuffer2,pin,cell
rebuffer2,rebuffer2/Y,cell,pin
rebuffer20/A,rebuffer20,pin,cell
rebuffer20,rebuffer20/Y,cell,pin
rebuffer21/A,rebuffer21,pin,cell
rebuffer21,rebuffer21/Y,cell,pin
rebuffer22/A,rebuffer22,pin,cell
rebuffer22,rebuffer22/Y,cell,pin
rebuffer23/A,rebuffer23,pin,cell
rebuffer23,rebuffer23/Y,cell,pin
rebuffer24/A,rebuffer24,pin,cell
rebuffer24,rebuffer24/Y,cell,pin
rebuffer25/A,rebuffer25,pin,cell
rebuffer25,rebuffer25/Y,cell,pin
rebuffer26/A,rebuffer26,pin,cell
rebuffer26,rebuffer26/Y,cell,pin
rebuffer27/A,rebuffer27,pin,cell
rebuffer27,rebuffer27/Y,cell,pin
rebuffer28/A,rebuffer28,pin,cell
rebuffer28,rebuffer28/Y,cell,pin
rebuffer29/A,rebuffer29,pin,cell
rebuffer29,rebuffer29/Y,cell,pin
rebuffer3/A,rebuffer3,pin,cell
rebuffer3,rebuffer3/Y,cell,pin
rebuffer30/A,rebuffer30,pin,cell
rebuffer30,rebuffer30/Y,cell,pin
rebuffer31/A,rebuffer31,pin,cell
rebuffer31,rebuffer31/Y,cell,pin
rebuffer32/A,rebuffer32,pin,cell
rebuffer32,rebuffer32/Y,cell,pin
rebuffer33/A,rebuffer33,pin,cell
rebuffer33,rebuffer33/Y,cell,pin
rebuffer34/A,rebuffer34,pin,cell
rebuffer34,rebuffer34/Y,cell,pin
rebuffer35/A,rebuffer35,pin,cell
rebuffer35,rebuffer35/Y,cell,pin
rebuffer36/A,rebuffer36,pin,cell
rebuffer36,rebuffer36/Y,cell,pin
rebuffer37/A,rebuffer37,pin,cell
rebuffer37,rebuffer37/Y,cell,pin
rebuffer38/A,rebuffer38,pin,cell
rebuffer38,rebuffer38/Y,cell,pin
rebuffer39/A,rebuffer39,pin,cell
rebuffer39,rebuffer39/Y,cell,pin
rebuffer4/A,rebuffer4,pin,cell
rebuffer4,rebuffer4/Y,cell,pin
rebuffer40/A,rebuffer40,pin,cell
rebuffer40,rebuffer40/Y,cell,pin
rebuffer41/A,rebuffer41,pin,cell
rebuffer41,rebuffer41/Y,cell,pin
rebuffer42/A,rebuffer42,pin,cell
rebuffer42,rebuffer42/Y,cell,pin
rebuffer43/A,rebuffer43,pin,cell
rebuffer43,rebuffer43/Y,cell,pin
rebuffer44/A,rebuffer44,pin,cell
rebuffer44,rebuffer44/Y,cell,pin
rebuffer45/A,rebuffer45,pin,cell
rebuffer45,rebuffer45/Y,cell,pin
rebuffer46/A,rebuffer46,pin,cell
rebuffer46,rebuffer46/Y,cell,pin
rebuffer47/A,rebuffer47,pin,cell
rebuffer47,rebuffer47/Y,cell,pin
rebuffer48/A,rebuffer48,pin,cell
rebuffer48,rebuffer48/Y,cell,pin
rebuffer49/A,rebuffer49,pin,cell
rebuffer49,rebuffer49/Y,cell,pin
rebuffer5/A,rebuffer5,pin,cell
rebuffer5,rebuffer5/Y,cell,pin
rebuffer50/A,rebuffer50,pin,cell
rebuffer50,rebuffer50/Y,cell,pin
rebuffer51/A,rebuffer51,pin,cell
rebuffer51,rebuffer51/Y,cell,pin
rebuffer52/A,rebuffer52,pin,cell
rebuffer52,rebuffer52/Y,cell,pin
rebuffer53/A,rebuffer53,pin,cell
rebuffer53,rebuffer53/Y,cell,pin
rebuffer54/A,rebuffer54,pin,cell
rebuffer54,rebuffer54/Y,cell,pin
rebuffer55/A,rebuffer55,pin,cell
rebuffer55,rebuffer55/Y,cell,pin
rebuffer56/A,rebuffer56,pin,cell
rebuffer56,rebuffer56/Y,cell,pin
rebuffer57/A,rebuffer57,pin,cell
rebuffer57,rebuffer57/Y,cell,pin
rebuffer58/A,rebuffer58,pin,cell
rebuffer58,rebuffer58/Y,cell,pin
rebuffer59/A,rebuffer59,pin,cell
rebuffer59,rebuffer59/Y,cell,pin
rebuffer6/A,rebuffer6,pin,cell
rebuffer6,rebuffer6/Y,cell,pin
rebuffer60/A,rebuffer60,pin,cell
rebuffer60,rebuffer60/Y,cell,pin
rebuffer61/A,rebuffer61,pin,cell
rebuffer61,rebuffer61/Y,cell,pin
rebuffer62/A,rebuffer62,pin,cell
rebuffer62,rebuffer62/Y,cell,pin
rebuffer63/A,rebuffer63,pin,cell
rebuffer63,rebuffer63/Y,cell,pin
rebuffer64/A,rebuffer64,pin,cell
rebuffer64,rebuffer64/Y,cell,pin
rebuffer65/A,rebuffer65,pin,cell
rebuffer65,rebuffer65/Y,cell,pin
rebuffer66/A,rebuffer66,pin,cell
rebuffer66,rebuffer66/Y,cell,pin
rebuffer67/A,rebuffer67,pin,cell
rebuffer67,rebuffer67/Y,cell,pin
rebuffer68/A,rebuffer68,pin,cell
rebuffer68,rebuffer68/Y,cell,pin
rebuffer69/A,rebuffer69,pin,cell
rebuffer69,rebuffer69/Y,cell,pin
rebuffer7/A,rebuffer7,pin,cell
rebuffer7,rebuffer7/Y,cell,pin
rebuffer70/A,rebuffer70,pin,cell
rebuffer70,rebuffer70/Y,cell,pin
rebuffer71/A,rebuffer71,pin,cell
rebuffer71,rebuffer71/Y,cell,pin
rebuffer72/A,rebuffer72,pin,cell
rebuffer72,rebuffer72/Y,cell,pin
rebuffer73/A,rebuffer73,pin,cell
rebuffer73,rebuffer73/Y,cell,pin
rebuffer74/A,rebuffer74,pin,cell
rebuffer74,rebuffer74/Y,cell,pin
rebuffer75/A,rebuffer75,pin,cell
rebuffer75,rebuffer75/Y,cell,pin
rebuffer76/A,rebuffer76,pin,cell
rebuffer76,rebuffer76/Y,cell,pin
rebuffer77/A,rebuffer77,pin,cell
rebuffer77,rebuffer77/Y,cell,pin
rebuffer78/A,rebuffer78,pin,cell
rebuffer78,rebuffer78/Y,cell,pin
rebuffer79/A,rebuffer79,pin,cell
rebuffer79,rebuffer79/Y,cell,pin
rebuffer8/A,rebuffer8,pin,cell
rebuffer8,rebuffer8/Y,cell,pin
rebuffer80/A,rebuffer80,pin,cell
rebuffer80,rebuffer80/Y,cell,pin
rebuffer81/A,rebuffer81,pin,cell
rebuffer81,rebuffer81/Y,cell,pin
rebuffer82/A,rebuffer82,pin,cell
rebuffer82,rebuffer82/Y,cell,pin
rebuffer83/A,rebuffer83,pin,cell
rebuffer83,rebuffer83/Y,cell,pin
rebuffer84/A,rebuffer84,pin,cell
rebuffer84,rebuffer84/Y,cell,pin
rebuffer85/A,rebuffer85,pin,cell
rebuffer85,rebuffer85/Y,cell,pin
rebuffer86/A,rebuffer86,pin,cell
rebuffer86,rebuffer86/Y,cell,pin
rebuffer87/A,rebuffer87,pin,cell
rebuffer87,rebuffer87/Y,cell,pin
rebuffer88/A,rebuffer88,pin,cell
rebuffer88,rebuffer88/Y,cell,pin
rebuffer89/A,rebuffer89,pin,cell
rebuffer89,rebuffer89/Y,cell,pin
rebuffer9/A,rebuffer9,pin,cell
rebuffer9,rebuffer9/Y,cell,pin
rebuffer90/A,rebuffer90,pin,cell
rebuffer90,rebuffer90/Y,cell,pin
rebuffer91/A,rebuffer91,pin,cell
rebuffer91,rebuffer91/Y,cell,pin
rebuffer92/A,rebuffer92,pin,cell
rebuffer92,rebuffer92/Y,cell,pin
rebuffer93/A,rebuffer93,pin,cell
rebuffer93,rebuffer93/Y,cell,pin
rebuffer94/A,rebuffer94,pin,cell
rebuffer94,rebuffer94/Y,cell,pin
rebuffer95/A,rebuffer95,pin,cell
rebuffer95,rebuffer95/Y,cell,pin
rebuffer96/A,rebuffer96,pin,cell
rebuffer96,rebuffer96/Y,cell,pin
rebuffer97/A,rebuffer97,pin,cell
rebuffer97,rebuffer97/Y,cell,pin
rebuffer98/A,rebuffer98,pin,cell
rebuffer98,rebuffer98/Y,cell,pin
rebuffer99/A,rebuffer99,pin,cell
rebuffer99,rebuffer99/Y,cell,pin
